Entry,Gene Names,Protein families
P0AD79,leuL leuLP b0075 JW0074,
P0AD83,pyrL b4246 JW4205,
P0AD86,thrL b0001 JW4367,Thr operon leader peptide family
P0AD92,trpL trpEE b1265 JW1257,
P0ADA5,yajG b0434 JW0424,
P0ADA7,osmB b1283 JW1275,
P0ADB1,osmE anr b1739 JW1728,
P0ADD7,yjjQ b4365 JW4329,
P0ADE2,ytfK b4217 JW5749,
P0ADF3,rhoL b3782 JW3755,
P0ADI7,yecD b1867 JW5307,Isochorismatase family
P0ADI9,yhhN b3468 JW3433,TMEM86 family
P0ADJ3,yhjR b3535 JW3503,
P0ADJ5,bcsF yhjT b3537 JW5663,BcsF family
P0ADJ8,yiaA b3562 JW3534,
P0ADK4,yiaW b3587 JW3559,
P0ADK6,yibA b3594 JW3568,
P0ADK8,yibL b3602 JW3577,
P0ADL6,yidG b3675 JW3651,
P0ADM0,yidH b3676 JW3652,
P0ADM4,yidQ b3688 JW5633,
P0ADM8,yieE b3712 JW3690,
P0ADQ5,yiiE b3889 JW5929,YiiE family
P0ADR0,yqaA b2689 JW2664,
P0ADR2,ygdD b2807 JW2778,UPF0382 family
P0ADS6,yggE b2922 JW2889,
P0ADT2,ygiB b3037 JW5927,UPF0441 family
P0ADT8,ygiM b3055 JW3027,
P0ADX7,yhhA b3448 JW3413,
P0AE14,ampE b0111 JW0107,
P0AE28,aroM b0390 JW0381,
P0AE42,yqaE b2666 JW2641,UPF0057 (PMP3) family
P0AE48,ytfP b4222 JW4181,Gamma-glutamylcyclotransferase family
P0AE58,caiF b0034 JW0033,
P0AE63,chaB b1217 JW1208,ChaB family
P0AE74,citT ybdS b0612 JW0604,"SLC13A/DASS transporter (TC 2.A.47) family, DIT1 subfamily"
P0AE78,corC ybeX b0658 JW0655,UPF0053 family
P0AE91,creA yjjD b4397 JW4360,
P0AEB7,yoaB b1809 JW5295,RutC family
P0AEC0,yoaE b1816 JW1805,UPF0053 family
P0AEH3,elaA yfbC b2267 JW2262,UPF0039 (ElaA) family
P0AEH8,yjiG b4329 JW4292,SpmB family
P0AEL8,fimZ ybcA b0535 JW5073,
P0AEQ1,glcG yghC b2977 JW2944,GlcG family
P0AET5,hdeD yhiA b3511 JW3479,
P0AEV4,hycA hevA b2725 JW2695,
P0AEV7,hycH hevH b2718 JW2688,
P0AEX5,prkB yhfF b3355 JW3318,Phosphoribulokinase family
P0AEY1,marC ydeB ydeC b1529 JW1522,UPF0056 (MarC) family
P0AF43,yjbB b4020 JW3980,
P0AF45,yjbE b4026 JW3986,
P0AF54,yjcH b4068 JW4029,
P0AF78,yjfJ b4182 JW4140,PspA/Vipp/IM30 family
P0AF80,yjfL b4184 JW4142,UPF0719 family
P0AF82,yjfN b4188 JW5742,BhsA/McbA family
P0AF86,yjfY b4199 JW4157,BhsA/McbA family
P0AFI9,perM yfgO b2493 JW2478,Autoinducer-2 exporter (AI-2E) (TC 2.A.86) family
P0AFJ1,yjdM phnA b4108 JW4069,YjdM family
P0AFM4,psiF b0384 JW5054,
P0AFN6,yadH b0128 JW0124,ABC-2 integral membrane protein family
P0AFP0,yadS b0157 JW0153,UPF0126 family
P0AFP4,ybbO b0493 JW0482,Short-chain dehydrogenases/reductases (SDR) family
P0AFR0,rssA ychK b1234 JW1222,NTE family
P0AFR4,yciO b1267 JW5196,SUA5 family
P0AFS7,ydiK b1688 JW1678,Autoinducer-2 exporter (AI-2E) (TC 2.A.86) family
P0AFU2,yfbS b2292 JW2289,CitM (TC 2.A.11) transporter family
P0AFV0,yibH b3597 JW3571,Membrane fusion protein (MFP) (TC 8.A.1) family
P0AFW8,rof yaeO b0189 JW0184,
P0AFZ1,sseB b2522 JW5404,
P0AG27,yibN b3611 JW3586,
P0AG71,rmuC yigN b3832 JW3809,RmuC family
P0AGC7,ytjB smp b4387 JW4350,Smp family
P0AGH1,yhhJ b3485 JW5677,ABC-2 integral membrane protein family
P0AGJ5,yfiF b2581 JW2565,"Class IV-like SAM-binding methyltransferase superfamily, RNA methyltransferase TrmH family"
P0AGM0,yhhT b3474 JW5680,Autoinducer-2 exporter (AI-2E) (TC 2.A.86) family
P0AGM2,yicG b3646 JW3621,UPF0126 family
P0AGM5,ychA sirB1 b1214 JW1205,UPF0162 family
P0CE49,insH1 b0259 JW0250,Transposase 11 family
P0CE50,insH2 b0552 JW0540,Transposase 11 family
P0CE51,insH3 b0656 JW0652,Transposase 11 family
P0CE52,insH4 b1331 JW1324,Transposase 11 family
P0CE53,insH6 b1994 JW1972,Transposase 11 family
P0CE54,insH7 b2030 JW2014,Transposase 11 family
P0CE55,insH8 b2192 JW2179,Transposase 11 family
P0CE56,insH9 b2982 JW2949,Transposase 11 family
P0CE57,insH10 b3218 JW3185,Transposase 11 family
P0CE58,insH11 b3505 JW3472,Transposase 11 family
P0CE59,JW1882,Transposase 11 family
P0CE60,JW5895,Transposase 11 family
P0CE61,JW5914,Transposase 11 family
P0CE62,JW5928,Transposase 11 family
P0CE63,JW5935,Transposase 11 family
P0CE64,JW5936,Transposase 11 family
P0CE65,JW5951,Transposase 11 family
P0CF07,insA1 b0022 JW0021,IS1 elements InsA family
P0CF08,insA2 b0265 JW0257,IS1 elements InsA family
P0CF09,insA3 b0275 JW0269,IS1 elements InsA family
P0CF10,insA4 b4516 JW0971,IS1 elements InsA family
P0CF11,insA5 b1894,IS1 elements InsA family
P0CF12,insA6 b3444 JW3408,IS1 elements InsA family
P0CF13,insA8 JW2286,IS1 elements InsA family
P0CF25,insB1 b0021 JW0020,Transposase 27 family
P0CF26,insB2 b0264 JW0256,Transposase 27 family
P0CF27,insB3 b0274 JW0268,Transposase 27 family
P0CF28,insB5 b1893,Transposase 27 family
P0CF29,insB6 b3445 JW3409,Transposase 27 family
P0CF30,JW2285,Transposase 27 family
P0CF40,insC1 b0360 JW0351,Transposase 8 family
P0CF41,insC2 b1403 JW1400,Transposase 8 family
P0CF42,insC3 b1997 JW1978,Transposase 8 family
P0CF43,insC4 b2861 JW2829,Transposase 8 family
P0CF44,insC5 b3044 JW3012,Transposase 8 family
P0CF45,insC6 b4272 JW4229,Transposase 8 family
P0CF46,insC7 ybiA yuaJ ECOK12F021,Transposase 8 family
P0CF47,JW5900,Transposase 8 family
P0CF48,JW5902,Transposase 8 family
P0CF49,JW5919,Transposase 8 family
P0CF50,JW5934,Transposase 8 family
P0CF53,insD1 b0361 JW0352,
P0CF54,insD2 b1402 JW1397,
P0CF55,insD3 b1996 JW1975,
P0CF56,insD4 b2860 JW2826,
P0CF57,insD5 b3045 JW3013,
P0CF58,insD6 b4273 JW4230,
P0CF59,insD7 ybhB yuaI ECOK12F020,
P0CF60,insD8 b1578 JW1570,
P0CF61,JW5899,
P0CF62,JW5903,
P0CF63,JW5918,
P0CF64,JW5933,
P0CF66,insE1 b0298 JW5036,Transposase 8 family
P0CF67,insE2 b0373 JW5050,Transposase 8 family
P0CF68,insE3 b0540 JW5074,Transposase 8 family
P0CF69,insE4 b1027 JW5144,Transposase 8 family
P0CF70,insE5 b2088 JW5341,Transposase 8 family
P0CF71,insE6 yaaA ECOK12F001,Transposase 8 family
P0CF72,insE7 ybfA ECOK12F018,Transposase 8 family
P0CF79,insF1 b0299 JW0293,Transposase IS3/IS150/IS904 family
P0CF80,insF2 b0372 JW0363,Transposase IS3/IS150/IS904 family
P0CF81,insF3 b0541 JW0529,Transposase IS3/IS150/IS904 family
P0CF82,insF4 b1026 JW1012,Transposase IS3/IS150/IS904 family
P0CF83,insF5 b2089 JW2073,Transposase IS3/IS150/IS904 family
P0CF84,insF6 yaaB ECOK12F002,Transposase IS3/IS150/IS904 family
P0CF86,yfjU b2638,ArsC family
P0CF87,yfjU JW2619,ArsC family
P0CF89,insI3 b1404 JW1401,Transposase IS30 family
P0CF90,insI4 b4284 JW4244,Transposase IS30 family
P0CF91,insL1 b0016 JW0015,Transposase 11 family
P0CF92,insL2 b0582 JW0572,Transposase 11 family
P0CF93,insL3 b2394 JW5390,Transposase 11 family
P0DP22,yjiQ rpnD b4339 JW4302,Rpn/YhgA-like nuclease family
P0DP63,ybeH b4581 JW0620 b0625,"Carbon-nitrogen hydrolase superfamily, NIT1/NIT2 family"
P0DP64,ybeM b4581 JW0621 b0626,"Carbon-nitrogen hydrolase superfamily, NIT1/NIT2 family"
P0DP69,phnE1 b4104 JW4065,
P0DPC4,ytiC ytiB b4720,
P0DPC5,ytiD b4721,
P0DPC6,idlP orf27 b4722,
P0DPC7,rseD orf51 b4725,
P0DPD0,ldrA b4419 JW5957,Ldr toxic peptide family
P0DPD1,ldrC b4423 JW5959,Ldr toxic peptide family
P0DPO8,ynfT ynfQ b4748,
P0DPP2,yoaL b4751,
P0DQD7,gndA,
P0DSE4,argL b4766,
P0DSG0,pssL b4782,
P0DSH2,baxL b4794,
P0DSH3,yibX b4795,
P0DUM3,timP ECK4669 ryfA b4812,TimP toxin family
P0DXX6,xtpA b4845,
P10030,pifC C repC ECOK12F041,
P11286,yiaB b3563 JW5654,
P11290,yibD b3615 JW3590,Glycosyltransferase 2 family
P11291,yzcX cyaX b3808 JW3780,
P11447,argH b3960 JW3932,"Lyase 1 family, Argininosuccinate lyase subfamily"
P11519,flmC ORF70 ECOK12F065,
P11663,fumE yggD b2929 JW2896,MtlR/FumE family
P11664,yggC b2928 JW2895,
P11866,tdcR b3119 JW5525,
P12994,ybhB b0773 JW0756,UPF0098 family
P13959,repA2 copB ECOK12F006,
P13970,srnB ECOK12F004/ECOK12F005,Hok/Gef family
P13979,traT ECOK12F101,TraT lipoprotein family
P14497,traF ECOK12F091,
P15069,traH ECOK12F098,
P15081,gutM srlM b2706 JW2675,
P15286,flk div b2321 JW2318,Flk family
P16681,yjdN phnB b4107 JW4068,
P16684,phnF b4102 JW4063,
P16916,rhsA b3593 JW3566,RHS family
P16917,rhsB b3482 JW5679,RHS family
P16918,rhsC b0700 JW0689,RHS family
P16919,rhsD b0497 JW0486,RHS family
P18004,traC ECOK12F084,
P18006,trbI ECOK12F085,
P18033,traQ ECOK12F094,
P18035,trbB ECOK12F095,
P18390,yjjA b4360 JW5795,
P18471,traU ECOK12F087,
P18472,traW ECOK12F086,
P18473,trbC ECOK12F088,
P19767,insA7 b4294 JW4254,IS1 elements InsA family
P19931,hyaE b0976 JW0958,HupG/HyaE family
P19932,hyaF b0977 JW0959,HupH/HyaF family
P21361,yciG b1259 JW1251,Con-10 family
P21362,yciF b1258 JW1250,
P21365,yciC b1255 JW1247,UPF0259 family
P21420,nmpC phmA b0553,Gram-negative porin family
P21503,ycaD b0898 JW0881,"Major facilitator superfamily, YcaD (TC 2.A.1.26) family"
P22707,finO,FinO family
P22709,traX ECOK12F105,TraX family
P22787,yifB b3765 JW3738,"Mg-chelatase subunits D/I family, ComM subfamily"
P23325,arpA arp yjaC b4017 JW3977,Toxin_15 family
P23481,hyfA yffE b2481 JW2466,
P23840,dinD orfY pcsA yicD b3645 JW3620,
P24178,yffB b2471 JW2455,ArsC family
P24211,rhsE b1456 JW1451,RHS family
P25531,yicR b3638 JW5643,"UPF0758 family, YicR subfamily"
P25550,aslB atsB b3800 JW5594,"Radical SAM superfamily, Anaerobic sulfatase-maturating enzyme family"
P25738,msyB b1051 JW1039,
P25743,ychE b1242 JW1229,UPF0056 (MarC) family
P25747,yeiB b2152 JW2139,
P26608,fliS b1925 JW1910,FliS family
P27294,inaA yfaG b2237 JW2231,"Protein kinase superfamily, KdkA/RfaP family"
P27297,bax b3570 JW5653,
P27375,yjaZ htrC b3989 JW3952,
P27843,yigG b3818 JW5590,
P27844,rarD b3819 JW5589,EamA transporter family
P28303,dinF b4044 JW4004,Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
P28369,prfH b0236 JW0226,Prokaryotic/mitochondrial release factor family
P28697,mbiA htgA htpY b0012 JW5001,
P28721,gltF b3214 JW3181,
P28722,yhcA b3215 JW3182,Periplasmic pilus chaperone family
P28912,yhhI b3484 JW3451,Transposase 11 family
P28916,ybfD b0706 JW0696,Transposase 11 family
P28917,ydcC b1460 JW1455,Transposase 11 family
P29217,yceH b1067 JW1054,UPF0502 family
P29744,flgL flaT flaU b1083 JW1070,Bacterial flagellin family
P30143,yaaJ b0007 JW0006,Alanine or glycine:cation symporter (AGCS) (TC 2.A.25) family
P30149,yabI b0065 JW5005,DedA family
P30177,ybiB b0800 JW0785,Anthranilate phosphoribosyltransferase family
P30192,insZ ychG b4573 JW1227/JW5883 b1239/b1240,
P30852,smf b4473 JW5708,DprA/Smf family
P30864,yafC b0208 JW0198,LysR transcriptional regulatory family
P30979,ybeF b0629 JW0624,LysR transcriptional regulatory family
P31061,nohA nohQ b1548 JW1541,Terminase small subunit family
P31064,yedE b1929 JW1914,TsuA/YedE (TC 9.B.102) family
P31130,ydeI b1536 JW1529,
P31131,ydeJ b1537 JW1530,CinA family
P31435,yicJ b3657 JW5939,Sodium:galactoside symporter (TC 2.A.2) family
P31437,yicL b3660 JW3634,EamA transporter family
P31446,yidI b3677 JW3653,
P31447,yidJ b3678 JW3654,Sulfatase family
P31448,yidK b3679 JW3655,Sodium:solute symporter (SSF) (TC 2.A.21) family
P31449,yidL b3680 JW3656,
P31450,glvG b4556 b3681,Glycosyl hydrolase 4 family
P31453,yidP b3684 JW3661,
P31456,cbrA yidS b3690 JW5631,CbrA family
P31468,cbrB yieI b3716 JW3694,CbrB family
P31469,cbrC yieJ b3717 JW3695,UPF0167 family
P31470,yieK b3718 JW5613,Glucosamine/galactosamine-6-phosphate isomerase family
P31475,yieP b3755 JW5608,
P31666,yadE b0130 JW0126,
P31679,yaaU yabE b0045 JW0044,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family"
P31808,yciK b1271 JW1263,Short-chain dehydrogenases/reductases (SDR) family
P31827,yddB b1495 JW1490,TonB-dependent receptor family
P32051,ydeK orfT b1510 JW1503,
P32057,wcaI yefD b2050 JW2035,
P32135,yihN b3874 JW3845,Major facilitator superfamily
P32139,yihR b3879 JW3850,
P32152,frvR yiiH b3897 JW3868,
P32153,frvX yiiI b3898 JW3869,Peptidase M42 family
P32674,pflD yijL b3951 JW3923,Glycyl radical enzyme (GRE) family
P32677,yijO b3954 JW3926,
P32687,yjbF b4027 JW5711,
P32703,yjcE b4065 JW4026,Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family
P32709,nrfD yjcK b4073 JW4034,NrfD family
P32712,nrfG yjcN b4076 JW4037,
P33011,yeeA b2008 JW1990,
P33020,yeiI b2160 JW2147,Carbohydrate kinase PfkB family
P33029,yeiQ b2172 JW2160,"Mannitol dehydrogenase family, UxuB subfamily"
P33218,yebE b1846 JW1835,
P33235,flgK flaS flaW b1082 JW1069,Flagella basal body rod proteins family
P33236,mokC gefL b0018 JW5879,Hok/Gef family
P33345,yehF dinO molR sosF b2115 b2116/b2117 b4499,
P33348,yehL b2119 JW5349,
P33349,yehM yehN yehO b2120 JW2108,
P33353,yehQ b2122 JW2110,
P33354,yehR b2123 JW5351,
P33366,yohD b2136 JW2124,DedA family
P33368,yohF yohE b2137 JW2125,Short-chain dehydrogenases/reductases (SDR) family
P33554,ppdA b2826 JW2794,
P33634,yfiE b2577 JW2561,LysR transcriptional regulatory family
P33666,ydbA b4492 JW5802/JW1402 b1401/b1405,
P33924,yejO b2190 JW5839,
P33997,alpA alp b2624 JW2604,
P34209,ydcF b1414 JW1411,
P34211,yuaR yddA ECOK12F030,Peptidase S33 family
P36547,eutR yfeG b2437 JW2430,
P36554,mdtD yegB b2077 JW2062,"Major facilitator superfamily, TCR/Tet family"
P36645,hofB hopB b0107 JW0103,GSP E family
P36646,hofC hopC yacD b0106 JW0102,GSP F family
P36881,yadI b0129 JW0125,
P36928,yegD b2069 JW2054,Heat shock protein 70 family
P36930,gatR b4498 JW5340/JW2074 b2087/b2090,
P36943,eaeH b0297 JW0291,Intimin/invasin family
P37005,lasT yjtD b4403 JW4366,"Class IV-like SAM-binding methyltransferase superfamily, RNA methyltransferase TrmH family"
P37007,yagA b0267 JW0260,
P37008,yagB b0266 JW0259,CbeA/YafW/YfjZ antitoxin family
P37014,yfaD b2244 JW2238,Rpn/YhgA-like nuclease family
P37056,yaeF yaeK b0193 JW5016,
P37057,ogrK b2082 JW2067,
P37305,hokA yiaZ b4455 JW3526,Hok/Gef family
P37325,ybcH b0567 JW0556,
P37327,yfdC b2347 JW2344,
P37342,yjjI yjjH b4380 JW4343,
P37440,ucpA yfeF b2426 JW5394,Short-chain dehydrogenases/reductases (SDR) family
P37443,ycaI b0913 JW5120,
P37626,yhiI b3487 JW3454,
P37629,yhiL b4660 JW3457 b3489 b3490,
P37630,yhiM b3491 JW5944,
P37640,yhjB b3520 JW3488,
P37641,yhjC b3521 JW3489,LysR transcriptional regulatory family
P37642,yhjD b3522 JW3490,
P37643,yhjE b3523 JW3491,"Major facilitator superfamily, Metabolite:H+ Symporter (MHS) family (TC 2.A.1.6) family"
P37645,yhjG yhjF b3524 JW3492,AsmA family
P37648,yhjJ b3527 JW3495,Peptidase M16 family
P37650,bcsC yhjL b3530 JW5942,AcsC/BcsC family
P37655,bcsQ yhjQ b3534,BcsQ family
P37659,bcsG yhjU b3538 JW3506,
P37660,yhjV b3539 JW3508,"Amino acid/polyamine transporter 2 family, SdaC/TdcC subfamily"
P37663,yhjY b3548 JW5659,
P37673,yiaL b3576 JW3548,TabA/YiaL family
P37681,yiaT b3584 JW3556,MipA/OmpV family
P37682,yiaU b3585 JW3557,LysR transcriptional regulatory family
P37683,yiaV b3586 JW3558,Membrane fusion protein (MFP) (TC 8.A.1) family
P37686,yiaY b3589 JW5648,Iron-containing alcohol dehydrogenase family
P37748,wbbH rfc wzy yefF b2035 JW2020,
P37751,wbbK yefI b2032 JW2017,
P37767,yfhH b2561 JW2545,
P37903,uspF ynaF yzzL b1376 JW1370,Universal stress protein A family
P37908,yfjD ypjE b4461 JW5415 b2612/b2613,UPF0053 family
P37909,ybgD b0719 JW0709,Fimbrial protein family
P38055,ydjE b1769 JW1758,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family"
P38104,rspA b1581 JW1573,Mandelate racemase/muconate lactonizing enzyme family
P38105,rspB b1580 JW1572,Zinc-containing alcohol dehydrogenase family
P38392,sieB b1353 JW5209,
P38521,yggL b2959 JW2926,
P39161,uxuR b4324 JW4287,
P39165,ychO ychP b1220 JW1211,Intimin/invasin family
P39187,ytfJ b4216 JW4175,
P39212,insN2 b4283 JW5771,Transposase 8 family
P39263,yfcC b2298 JW2295,
P39264,fimI b4315 JW5779,Fimbrial protein family
P39270,yjdF b4121 JW4082,
P39282,yjeM b4156 JW5739,Amino acid-polyamine-organocation (APC) superfamily
P39284,yjeO b4158 JW4119,
P39314,ytfF b4210 JW4168,
P39332,yjgH b4248 JW4206,RutC family
P39336,yjgL b4253 JW5757,
P39337,yjgM b4256 JW5758,Acetyltransferase family
P39338,yjgN b4257 JW5759,
P39343,idnR yjgS b4264 JW4221,
P39349,yjgX b4575 b4275/b4276/b4560,Phosphoethanolamine transferase family
P39355,yjhE b4282,
P39356,yjhU b4295 JW5952,SorC transcriptional regulatory family
P39357,yjhF b4296 JW4258,GntP permease family
P39360,yjhI b4299 JW4261,
P39361,sgcR yjhJ b4300 JW4262,
P39366,sgcX yjhO b4305 JW5776,Peptidase M42 family
P39367,yjhP b4306 JW4268,
P39368,yjhQ b4307 JW4269,Acetyltransferase family
P39369,yjhR b4308 JW4271,
P39379,yjiH b4330 JW5783,
P39382,yjiK b4333 JW5869,YjiK family
P39383,yjiL b4334 JW5785,
P39384,yjiM b4335 JW5786,FldB/FldC dehydratase alpha/beta subunit family
P39389,yjiR b4340 JW4303,Class-I pyridoxal-phosphate-dependent aminotransferase family
P39393,yjiV mcrD b4486,
P39407,yjjU b4377 JW4340,
P39834,ygiL b3043 JW3011,Fimbrial protein family
P39836,yfeH b2410 JW5876,Bile acid:sodium symporter (BASS) (TC 2.A.28) family
P39901,ybfI b4636 b0691.1,
P40876,ycbF b0944 JW5124,Periplasmic pilus chaperone family
P41039,ybiI b0803 JW0788,
P41066,traK ECOK12F077,
P41067,traB ECOK12F078,TraB family
P41069,traV ECOK12F082,
P42589,ygjH b3074 JW3045,
P42590,ygjI b3078 JW5512,Amino acid-polyamine-organocation (APC) superfamily
P42597,ygjP upp b3085 JW5514,
P42599,ygjR b3087 JW3058,Gfo/Idh/MocA family
P42603,ygjV b3090 JW3061,
P42616,yqjC b3097 JW5516,
P42619,yqjF b3101 JW5850,DoxX family
P42906,agaA b3135 JW5527,"Metallo-dependent hydrolases superfamily, NagA family"
P43340,ycaK b0901 JW0884,NAD(P)H dehydrogenase (quinone) family
P43531,ynfM yzyC b1596 JW1588,Major facilitator superfamily
P43533,flgN b1070 JW1057,FlgN family
P43667,ygaH b2683 JW2658,
P45394,yrbG b3196 JW3163,Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family
P45420,yhcD b3216 JW3183,Fimbrial export usher family
P45423,yhcG b3220 JW3189,
P45465,yraN b3148 JW3117,UPF0102 family
P45468,yraQ b3151 JW3120,UPF0718 family
P45472,yhbQ b3155 JW3124,UPF0213 family
P45524,yheT b3353 JW3316,"AB hydrolase superfamily, AB hydrolase 4 family"
P45537,yhfK b3358 JW5701,YccS/YhfK family
P45546,yhfT b3377 JW3340,
P45549,yhfW b3380 JW3343,Phosphopentomutase family
P45566,yhdT b3257 JW3225,
P45570,ybcI b0527 JW0516,
P45581,stfP ycfK b1154 JW1140,
P45757,gspC yheE b3324 JW3286,GSP C family
P45766,yhdW b3268 JW3236,Bacterial solute-binding protein 3 family
P45771,yrdD b3283 JW5949,
P45848,yciQ yciP b1268 JW5197,
P46119,ybjC b0850 JW0834,
P46122,yajI b0412 JW5056,
P46125,yedI b1958 JW1941,
P46141,ygbE b2749 JW2719,
P46474,yhdP yhdQ yhdR b4472 JW5542,
P46478,aaeX yhcR b3242 JW5541,AaeX family
P46853,yhhX b3440 JW3403,"Gfo/Idh/MocA family, Biliverdin reductase subfamily"
P47737,yubQ 19 X ygfA ECOK12F070,IagB/IpgF/P19 family
P51024,yaiL b0354 JW0345,
P52007,yecM yecL b1875 JW5309,
P52037,ygfF yqfD b2902 JW2870,Short-chain dehydrogenases/reductases (SDR) family
P52044,ygfI b2921 JW5476,LysR transcriptional regulatory family
P52052,yggR b2950 JW2917,GSP E family
P52107,csgC b1043 JW1026,CsgC/AgfC family
P52131,yfjP b2632 JW5419,
P52133,yfjR b2634 JW2615,
P52141,yfjZ b2645 JW2626,CbeA/YafW/YfjZ antitoxin family
P52598,ygbI b2735 JW2705,
P52636,yccM b0992 JW0977,
P52696,ybhD b0768 JW5896,LysR transcriptional regulatory family
P55138,ygcE b2776 JW5444,FGGY kinase family
P55140,ygcG b2778 JW5445,UPF0603 family
P55734,ygaP b2668 JW2643,
P56256,ysaA b3573 JW3545,
P56262,ysgA b3830 JW5853,Dienelactone hydrolase family
P56614,ymdF b4518 JW5136,Con-10 family
P56979,intM int ECOK12F032,'phage' integrase family
P57998,insB4 b0988 JW0972,Transposase 27 family
P58041,rzoD b4510 JW5080,Lambdalikevirus o-spanin family
P58042,rzoR b4528 JW5213,Lambdalikevirus o-spanin family
P60632,yohJ b2141 JW2129,UPF0299 family
P60869,ybjL b0847 JW0831,"AAE transporter (TC 2.A.81) family, YbjL subfamily"
P60872,yidE yibE b3685 JW3662,"AAE transporter (TC 2.A.81) family, YidE subfamily"
P60995,hisL b2018 JW2000,HisL family
P62522,ilvL b3766 JW3739,
P62556,sopA A ECOK12F046,ParA family
P62558,sopB B ECOK12F047,ParB family
P62670,flmA ORF52 parB stm ECOK12F066,Hok/Gef family
P62723,yeiH b2158 JW2145,UPF0324 family
P63264,cbpM yccD b0999 JW0984,CbpM family
P63340,yqeG b2845 JW2813,"Amino acid/polyamine transporter 2 family, SdaC/TdcC subfamily"
P64429,ypfJ b2475 JW2460,
P64432,ypjD b2611 JW2592,
P64439,ybjM b0848 JW0832,
P64442,yceO b1058 JW1045,
P64455,ydcY b1446 JW1441,
P64481,ydjM b1728 JW5281,
P64496,yoaG b1796 JW1785,
P64503,yebV b1836 JW5302,
P64506,yebY b1839 JW1828,
P64508,yobF b1824 JW1813,YobF/DUF2527 family
P64515,yecN b1869 JW5308,
P64519,yodD b1953 JW5317,
P64545,yfgG b2504 JW5399,
P64548,yfiR b2603 JW2584,
P64564,yggT b2952 JW2919,YggT family
P64567,yqgB b2939 JW2906,YqgB family
P64572,yghR b2984 JW2952,
P64585,yqjE b3099 JW3070,
P64590,yhaH b3103 JW3074,
P64592,yhaI b3104 JW3075,
P64614,yhcN b3238 JW5540,BhsA/McbA family
P65290,yfgH b2505 JW5400,
P65292,ygdI b2809 JW5448,
P65294,ygdR b2833 JW2801,
P65298,yqhH b3014 JW2982,
P65807,ygeY b2872 JW2840,Peptidase M20A family
P67127,ygdQ b2832 JW2800,UPF0053 family
P67143,yhgN b3434 JW3397,UPF0056 (MarC) family
P67153,yqfA b2899 JW2867,UPF0073 (Hly-III) family
P67244,yqhA b3002 JW2971,UPF0114 family
P67553,ynfC b1585 JW5258,UPF0257 family
P67601,yobD b1820 JW1809,UPF0266 family
P67660,yhaJ b3105 JW3076,LysR transcriptional regulatory family
P67699,yddM b1477 JW5908,VapA/VapI family
P67729,yfeO b2389 JW2386,Chloride channel (TC 2.A.49) family
P67826,cutC b1874 JW1863,CutC family
P68206,yjbJ b4045 JW4005,UPF0337 (CsbD) family
P68644,fixC yaaS b0043 JW0042,ETF-QO/FixC family
P68646,fixX yaaT b0044 JW0043,"Bacterial-type ferredoxin family, FixX subfamily"
P68661,ybcO b0549 JW0537,YbcO family
P71237,wcaC b2057 JW2042,
P71238,wcaD b2056 JW2041,
P71239,wcaE b2055 JW2040,
P71242,wcaK b2045 JW2030,Polysaccharide pyruvyl transferase family
P71243,wcaL yefL b2044 JW2029,"Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily"
P71244,wcaM yefK b2043 JW2028,
P75678,ykfA b0253 JW0243,
P75679,insN1 b0255 JW5024,Transposase 8 family
P75680,insO1 b0257 JW0247,
P75681,afuB fbpB b0263 JW0255,"Binding-protein-dependent transport system permease family, FbpB subfamily"
P75693,yahN b0328 JW0320,Rht family
P75694,yahO b0329 JW0321,BhsA/McbA family
P75697,yaiX yaiF b4579 JW0350/JW5814 b0359 b0362,Transferase hexapeptide repeat family
P75719,rzpD ybcT b0556 JW5079,
P75734,chiQ ybfN b0682 JW0668,
P75741,ybfL b0705 JW0695,Transposase 11 family
P75747,abrB ybgN b0715 JW5097 ECK0704,AbrB family
P75748,ybgO b0716 JW5098,
P75750,ybgQ b0718 JW5099,Fimbrial export usher family
P75763,ybhI b0770 JW0753,"SLC13A/DASS transporter (TC 2.A.47) family, DIT1 subfamily"
P75764,ybhJ b0771 JW5103,Aconitase/IPM isomerase family
P75767,ybhK b0780 JW0763,Gluconeogenesis factor family
P75770,ybhN b0788 JW0771,
P75779,ybiX b0804 JW5105,
P75788,ybiR b0818 JW0802,CitM (TC 2.A.11) transporter family
P75793,ybiW b0823 JW0807,Glycyl radical enzyme (GRE) family
P75810,ybjJ b0845 JW0829,
P75822,ybjT b0869 JW5116,
P75828,ybjD b0876 JW0860,
P75835,ycaM b0899 JW5119,Amino acid-polyamine-organocation (APC) superfamily
P75836,ycaN b0900 JW0883,LysR transcriptional regulatory family
P75843,ycaQ b0916 JW0899,
P75859,ycbU b0942 JW0925,
P75860,ycbV b0943 JW5123,
P75863,ycbX b0947 JW5126,
P75867,ycbZ b0955 JW0938,Peptidase S16 family
P75870,yccS b0960 JW5128,YccS/YhfK family
P75874,yccU b0965 JW5130,
P75882,gfcD ymcA b0984 JW0967,
P75883,gfcC ymcB b0985 JW0968,
